"Data are from N. Ohta, ""The Basis of Color Reproduction Engineering (Japanese)"", published by Corona-sha Co of Japan in 1997",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"patch key at right -->",,,"Macbeth Color Checker Patches",,,,,,,,,,,,,,,,,,,,
"wavelength",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,"Patch Numbers"
530,0.07,0.3,0.21,0.18,0.23,0.55,0.12,0.12,0.09,0.05,0.53,0.27,0.05,0.36,0.04,0.54,0.11,0.28,0.89,0.58,0.36,0.2,0.09,0.03,,
535,0.08,0.29,0.2,0.18,0.22,0.54,0.14,0.11,0.09,0.05,0.54,0.32,0.05,0.36,0.04,0.57,0.1,0.26,0.89,0.58,0.36,0.2,0.09,0.03,,
540,0.08,0.29,0.2,0.18,0.21,0.52,0.17,0.11,0.09,0.05,0.55,0.37,0.05,0.36,0.05,0.6,0.1,0.23,0.89,0.58,0.36,0.2,0.09,0.03,,
545,0.08,0.3,0.2,0.17,0.21,0.5,0.2,0.1,0.1,0.05,0.54,0.42,0.05,0.34,0.05,0.62,0.11,0.2,0.89,0.58,0.36,0.2,0.09,0.03,,
550,0.08,0.3,0.19,0.16,0.21,0.48,0.23,0.1,0.1,0.05,0.53,0.46,0.05,0.32,0.05,0.63,0.11,0.18,0.89,0.58,0.36,0.2,0.09,0.03,,
555,0.08,0.3,0.19,0.15,0.21,0.46,0.26,0.09,0.11,0.05,0.52,0.49,0.04,0.3,0.05,0.65,0.11,0.16,0.89,0.58,0.36,0.2,0.09,0.03,,
560,0.09,0.3,0.18,0.14,0.2,0.44,0.3,0.09,0.11,0.06,0.51,0.51,0.04,0.28,0.05,0.66,0.11,0.14,0.89,0.58,0.36,0.2,0.09,0.03,,
565,0.09,0.3,0.18,0.13,0.2,0.41,0.34,0.09,0.11,0.06,0.5,0.53,0.04,0.26,0.05,0.67,0.11,0.13,0.89,0.59,0.36,0.2,0.09,0.03,,
570,0.1,0.31,0.17,0.13,0.2,0.39,0.38,0.08,0.11,0.05,0.49,0.55,0.04,0.24,0.06,0.69,0.11,0.11,0.89,0.59,0.36,0.2,0.09,0.03,,
575,0.11,0.33,0.17,0.13,0.2,0.37,0.42,0.08,0.13,0.05,0.47,0.57,0.04,0.22,0.06,0.7,0.12,0.1,0.89,0.59,0.36,0.2,0.09,0.03,,
580,0.12,0.36,0.16,0.12,0.21,0.35,0.45,0.08,0.16,0.05,0.45,0.58,0.04,0.2,0.07,0.71,0.14,0.1,0.89,0.59,0.36,0.21,0.09,0.03,,
585,0.12,0.4,0.16,0.12,0.22,0.32,0.48,0.09,0.21,0.05,0.44,0.6,0.04,0.18,0.09,0.72,0.17,0.09,0.89,0.59,0.36,0.21,0.09,0.03,,
